순위,종목코드,종목명,현재가,전일대비,,등락률,거래량,거래비중,시가총액,시가총액비,체결강도
276,'192400,쿠쿠홀딩스,"32,100",▲,"1,600","+5.25%","46,679","","1,141,546","0.03%",91.02
277,'445680,큐리옥스바이오시스템즈,"67,400",▲,"2,400","+3.69%","175,936","0.04","1,139,238","0.03%",126.30
278,'030530,원익홀딩스,"14,650",▲,"150","+1.03%","1,875,476","0.11","1,131,536","0.03%",93.14
279,'100840,SNT에너지,"54,700",▲,"1,400","+2.63%","145,675","0.03","1,131,239","0.03%",81.21
280,'185750,종근당,"81,600",▲,"600","+0.74%","70,613","0.02","1,126,307","0.03%",106.02
281,'330590,롯데리츠,"3,895",▲,"5","+0.13%","287,588","","1,125,534","0.03%",168.46
282,'192080,더블유게임즈,"52,000",▼,"-900","-1.70%","43,489","","1,117,787","0.03%",47.77
283,'365550,ESR켄달스퀘어리츠,"4,530",▲,"15","+0.33%","442,808","","1,114,783","0.03%",121.39
284,'232140,와이씨,"13,470",▲,"80","+0.60%","1,120,047","0.06","1,105,151","0.03%",83.72
285,'415640,KB발해인프라,"8,990",▲,"180","+2.04%","151,963","","1,101,684","0.03%",122.07
286,'440110,파두,"22,100",▲,"950","+4.49%","1,266,486","0.11","1,092,662","0.03%",99.74
287,'018290,브이티,"30,350",▼,"-750","-2.41%","540,882","0.06","1,086,470","0.03%",41.62
288,'280360,롯데웰푸드,"115,100", ,"0","0%","106,885","0.04","1,070,956","0.03%",66.44
289,'005300,롯데칠성,"115,400",▼,"-600","-0.52%","16,126","","1,070,783","0.03%",77.23
290,'089860,롯데렌탈,"29,400",▼,"-100","-0.34%","16,456","","1,067,496","0.03%",103.19
291,'009240,한샘,"45,200",▲,"200","+0.44%","37,032","","1,063,734","0.03%",143.52
292,'051915,LG화학우,"138,300",▼,"-1,100","-0.79%","27,921","0.01","1,063,361","0.03%",58.19
293,'101490,에스앤에스텍,"49,500",▼,"-350","-0.70%","160,678","0.03","1,061,847","0.03%",56.61
294,'009450,경동나비엔,"72,700",▼,"-300","-0.41%","58,405","0.01","1,059,137","0.03%",48.41
295,'000815,삼성화재우,"341,500",▼,"-2,500","-0.73%","11,842","0.01","1,058,483","0.03%",70.76
296,'030610,교보증권,"9,150",▲,"50","+0.55%","121,826","","1,042,761","0.03%",88.95
297,'071320,지역난방공사,"89,800",▼,"-1,300","-1.43%","27,696","0.01","1,039,771","0.03%",56.22
298,'012630,HDC,"17,380",▼,"-380","-2.14%","157,878","0.01","1,038,311","0.03%",71.20
299,'376300,디어유,"43,650",▲,"300","+0.69%","178,406","0.03","1,036,181","0.03%",81.41
300,'319400,현대무벡스,"9,280",▲,"280","+3.11%","2,981,858","0.11","1,033,570","0.03%",102.02
301,'078600,대주전자재료,"66,400",▼,"-200","-0.30%","72,634","0.02","1,027,911","0.03%",47.29
302,'183300,코미코,"97,200",▼,"-900","-0.92%","88,635","0.03","1,016,778","0.03%",72.85
303,'285130,SK케미칼,"58,100",▼,"-1,400","-2.35%","55,989","0.01","1,002,445","0.03%",44.41
304,'042000,카페24,"41,150",▲,"1,000","+2.49%","191,823","0.03","998,013","0.03%",103.75
305,'098460,고영,"14,420",▼,"-280","-1.90%","666,479","0.04","990,002","0.03%",58.51
306,'041190,우리기술투자,"11,760",▼,"-400","-3.29%","29,598,556","1.55","987,840","0.03%",76.75
307,'006120,SK디스커버리,"53,600",▼,"-800","-1.47%","18,849","","983,445","0.03%",69.55
308,'001740,SK네트웍스,"4,440",▼,"-30","-0.67%","221,067","","982,474","0.03%",65.02
309,'499790,GS피앤엘,"49,250",▼,"-950","-1.89%","115,534","0.02","976,669","0.02%",63.01
310,'114090,GKL,"15,780",▲,"80","+0.51%","154,852","0.01","976,082","0.02%",66.12
311,'031980,피에스케이홀딩스,"45,100",▼,"-900","-1.96%","248,470","0.04","972,464","0.02%",68.86
312,'450140,코오롱모빌리티그룹,"15,370",▼,"-5,780","-27.33%","6,746,208","0.51","964,886","0.02%",78.23
313,'319660,피에스케이,"32,650",▼,"-400","-1.21%","425,539","0.05","945,763","0.02%",69.31
314,'003240,태광산업,"849,000",▼,"-10,000","-1.16%","933","","945,277","0.02%",89.94
315,'460930,현대힘스,"26,550",▲,"1,500","+5.99%","610,438","0.06","941,991","0.02%",109.60
316,'249420,일동제약,"29,650",▼,"-4,250","-12.54%","7,802,819","1.02","938,074","0.02%",65.75
317,'120110,코오롱인더,"33,850",▼,"-700","-2.03%","144,771","0.02","931,521","0.02%",58.61
318,'298020,효성티앤씨,"214,000",▼,"-2,000","-0.93%","8,635","","926,124","0.02%",38.03
319,'181710,NHN,"27,250",▼,"-1,200","-4.22%","218,251","0.02","920,127","0.02%",52.58
320,'000500,가온전선,"55,500",▲,"1,400","+2.59%","59,911","0.01","918,143","0.02%",95.52
321,'225570,넥슨게임즈,"13,920",▼,"-50","-0.36%","2,947,137","0.18","916,774","0.02%",73.72
322,'033500,동성화인텍,"30,500",▲,"300","+0.99%","262,710","0.03","914,680","0.02%",88.55
323,'064960,SNT모티브,"34,450",▲,"350","+1.03%","79,316","0.01","914,312","0.02%",70.23
324,'112040,위메이드,"26,650",▼,"-300","-1.11%","103,288","0.01","904,727","0.02%",59.33
325,'001430,세아베스틸지주,"25,150",▲,"300","+1.21%","60,761","","901,932","0.02%",91.23
326,'004490,세방전지,"64,000",▼,"-1,000","-1.54%","35,736","","896,000","0.02%",55.35
327,'036830,솔브레인홀딩스,"42,400",▲,"300","+0.71%","70,292","0.01","888,876","0.02%",87.22
328,'108320,LX세미콘,"54,600",▼,"-900","-1.62%","35,484","","888,031","0.02%",46.15
329,'000670,영풍,"46,400",▲,"2,500","+5.69%","146,545","0.02","886,632","0.02%",155.41
