일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20250904,-58500,5,-400,-0.68,2592577,38286,40248,+1962,--14041,655716,691301,+35585,--233885,KRX
20250903,-58900,5,-400,-0.67,1641908,20541,36544,+16003,+40495,346623,616093,+269470,+679095,KRX
20250902,-59300,5,-1900,-3.10,3661180,65619,41127,--24492,--43397,1101671,692046,--409625,--717766,KRX
20250901,-61200,5,-1300,-2.08,2491823,34780,53685,+18905,+12685,570564,878705,+308141,+208054,KRX
20250829,-62500,5,-1000,-1.57,1704037,30965,37185,+6220,--2375,493625,593712,+100087,--34482,KRX
20250828,-63500,5,-600,-0.94,1229932,24881,33476,+8595,+16885,391109,525678,+134569,+262720,KRX
20250827,-64100,5,-900,-1.38,1845944,55352,47062,--8290,--17335,862043,733892,--128151,--267164,KRX
20250826,+65000,2,+300,+0.46,2393834,64116,73161,+9045,--32202,988004,1127017,+139013,--499511,KRX
20250825,+64700,2,+1100,+1.73,1853582,20903,62150,+41247,+5500,325382,963906,+638524,+78578,KRX
20250822,-63600,5,-400,-0.63,2234317,25581,61328,+35747,+51084,401020,960966,+559946,+791532,KRX
20250821,-64000,5,-1300,-1.99,4221004,67377,52040,--15337,--18079,1033422,801836,--231586,--275728,KRX
20250820,+65300,2,+100,+0.15,3436218,49868,52610,+2742,--19808,775048,819190,+44142,--301573,KRX
20250819,+65200,2,+200,+0.31,2712501,34963,57513,+22550,+12244,536538,882253,+345715,+186827,KRX
20250818,+65000,2,+600,+0.93,1926649,27639,37945,+10306,--31029,426755,585643,+158888,--482159,KRX
20250814,+64400,2,+900,+1.42,3339635,32964,74299,+41335,+24287,511728,1152775,+641047,+368099,KRX
20250813,-63500,5,-200,-0.31,2791808,37554,54602,+17048,--16168,590996,863944,+272948,--247691,KRX
20250812,-63700,5,-500,-0.78,2620057,31821,65037,+33216,--8401,498585,1019224,+520639,--123135,KRX
20250811,+64200,2,+400,+0.63,4002999,58603,100220,+41617,+9671,905960,1549734,+643774,+143158,KRX
20250808,+63800,2,+200,+0.31,7219790,76269,108215,+31946,--95036,1191348,1691964,+500616,--1580092,KRX
20250807,+63600,2,+6800,+11.97,11910000,83857,210839,+126982,+120229,1373468,3454176,+2080708,+1968149,KRX
20250806,+56800,2,+2100,+3.84,3966137,60449,67202,+6753,+27676,1084794,1197353,+112559,+501013,KRX
